mean,sd,lower95,lower68,median,upper68,upper95,l_group,date,basin,size_class
65.535064275,4.617334367501378,56.6380875,60.97356799999999,65.43315,70.137144,74.7736725,232,2018-08-01,south,small
45.12290766,3.7592131315731168,38.056650000000005,41.376968,45.044650000000004,48.827416,52.789815,233,2019-06-01,south,small
44.910961805,3.6809763354236242,37.9437575,41.3088,44.81285,48.546092,52.441007500000005,234,2019-08-01,south,small
42.464091205,3.628326266686341,35.66072,38.836068000000004,42.35195,46.047548,49.90575,235,2020-06-01,south,small
212.042697,8.424942763759315,195.818875,203.646,212.045,220.48716000000002,228.75034999999997,236,2020-08-01,south,small
131.478404165,8.134251240911333,116.108975,123.331,131.35950000000003,139.55448,147.76144999999994,1,1991-06-01,north,large
203.8657097,10.087163849544257,184.522525,193.83336000000003,203.778,213.96316000000002,223.802075,2,1991-08-01,north,large
257.491965,11.990493444972456,234.7238,245.58168,257.2495,269.44048,281.485275,3,1992-06-01,north,large
76.087825605,5.94020907935714,64.90153000000001,70.25172,75.935,81.920968,88.21435249999999,4,1992-09-01,north,large
242.4102145,11.294132833596056,221.05595000000002,231.24784,242.168,253.72916,265.06812499999995,5,1993-06-01,north,large
154.4955139,8.64981946730376,138.13395,145.88668,154.2665,163.11816,171.99834999999996,6,1993-08-01,north,large
21.70606551,3.140469861309115,15.9181725,18.605168,21.57105,24.831796000000004,28.267625,7,1994-06-01,north,large
53.52891488,4.951505073833247,44.2458275,48.63464,53.39765,58.443448,63.60368749999998,8,1994-08-01,north,large
32.85340468,3.9794781541488793,25.46103,28.930652000000002,32.7211,36.824472,41.05780249999999,9,1995-06-01,north,large
59.816247975,5.3239189396505475,49.78808,54.520787999999996,59.65215,65.124424,70.66992249999998,10,1995-08-01,north,large
292.47484065,13.161491010711462,266.91594999999995,279.42688,292.298,305.58816,318.60310000000004,11,1996-06-01,north,large
348.5596525,13.59845631996365,322.10837499999997,335.05884000000003,348.46799999999996,362.09448,375.682575,12,1996-08-01,north,large
437.8394889,15.430836959946104,407.92192500000004,422.57668,437.6895,453.15716,468.3271,13,1997-06-01,north,large
324.3229923,13.075186454371584,299.11955,311.34584,324.172,337.43039999999996,350.11342499999995,14,1997-08-01,north,large
174.8898716,9.355523521109427,157.013775,165.56068,174.715,184.18248,193.48205000000002,15,1998-06-01,north,large
181.51538335,9.712736914954066,163.06425000000002,171.852,181.3205,191.203,200.85107499999998,16,1998-08-01,north,large
174.54837015,9.446051236741024,156.2659,165.21383999999998,174.448,183.9848,193.559,17,1999-07-01,north,large
45.33540484,4.618868005405113,36.6567875,40.774152,45.2245,49.932528000000005,54.750437499999975,18,1999-08-01,north,large
20.417093915,3.0978631428220083,14.745825000000002,17.33582,20.27865,23.509975999999998,26.8992175,19,2000-06-01,north,large
191.3312077,9.761531736472115,172.522675,181.65767999999997,191.192,201.04216,210.764075,20,2000-09-01,north,large
233.67151205,10.986247828176918,212.55395,222.78468,233.554,244.506,255.81705,21,2001-06-01,north,large
274.44134225,11.810030464075579,251.88982499999997,262.643,274.2475,286.25016,298.223025,22,2001-08-01,north,large
373.535361,14.095178629606266,346.57295,359.47336,373.217,387.46916,401.90119999999996,23,2002-06-01,north,large
610.2385046,18.660233986630573,574.65315,591.67752,610.043,628.77648,647.5041,24,2002-08-01,north,large
963.8356211,24.714737532132542,916.472825,939.4288399999999,963.381,988.24196,1013.19,25,2003-06-01,north,large
941.71688285,24.469694141794957,894.169975,917.42936,941.658,965.9871599999999,989.810025,26,2003-08-01,north,large
640.68659815,19.360288527582956,603.10095,621.3568799999999,640.4580000000001,659.91016,678.792025,27,2004-07-01,north,large
683.8916779,20.021930774501918,645.9865249999999,663.7575200000001,683.7280000000001,703.77064,723.7578249999998,28,2004-08-01,north,large
397.4940088,14.466556312958557,369.62850000000003,383.07484,397.32849999999996,411.86415999999997,426.15447499999993,29,2005-06-01,north,large
85.01873673,6.457518143621084,72.59097500000001,78.592908,84.9205,91.43513999999999,97.92243249999997,30,2005-08-01,north,large
171.13033775,9.149065537391536,153.580625,161.935,171.016,180.15915999999999,189.51334999999997,31,2006-06-01,north,large
79.241347285,6.195944799587943,67.3960925,73.14862000000001,79.07465,85.375104,91.79258249999998,32,2006-09-01,north,large
74.415375645,6.021976529928227,63.1629875,68.39762,74.25825,80.441424,86.75435499999999,33,2007-06-01,north,large
591.3062302,18.12848319278399,556.6055250000001,573.2601999999999,591.1905,609.24664,627.344275,34,2007-09-01,north,large
517.4660262,16.698034776963592,485.646925,500.722,517.224,534.10664,550.76815,35,2008-06-01,north,large
248.37764065,11.285840395309014,226.623975,237.12267999999997,248.173,259.57416,271.09835,36,2008-08-01,north,large
462.9905104,15.883634368967046,432.2627,447.25184,462.898,478.75316,494.44907500000005,37,2009-06-01,north,large
181.53648335,9.462185631917704,163.33395000000002,172.094,181.414,190.91116000000002,200.4511,38,2009-08-01,north,large
427.5664312,15.150966548086442,398.35895,412.51419999999996,427.3995,442.693,457.64315,39,2010-06-01,north,large
320.59139645,13.071068752278611,295.4708,307.73604,320.342,333.67696,346.540025,40,2010-08-01,north,large
671.7755289,20.082593183028234,633.1796499999999,651.77468,671.46,691.80832,711.6419249999998,41,2011-06-01,north,large
96.669362525,6.835853898805069,83.6284575,89.909396,96.53405000000001,103.48216,110.37305,42,2011-08-01,north,large
287.47946555,12.052813827956175,264.31885,275.4854,287.37800000000004,299.44016,311.69915000000003,43,2012-06-01,north,large
66.859402685,5.686693360608616,56.1637075,61.14484,66.74425,72.506396,78.404515,44,2012-08-01,north,large
140.3469067,8.32453956902404,124.45179999999999,132.03184000000002,140.24450000000002,148.67516,157.122025,45,2013-06-01,north,large
166.6382377,8.75079275544173,149.993825,157.9062,166.5635,175.36432,184.234075,46,2013-08-01,north,large
51.706799985,4.908428312256725,42.443695,46.784664,51.587050000000005,56.58104,61.76864749999999,47,2014-06-01,north,large
31.890304125,3.8514436176334614,24.7569825,28.066084,31.74775,35.730748,39.89866749999998,48,2014-08-01,north,large
136.5117698,8.193403710511662,120.825925,128.40684000000002,136.3665,144.67216,153.17114999999995,49,2015-06-01,north,large
4.2542354754,1.334169948431316,2.06886775,2.9531256,4.10875,5.5489448,7.252043499999997,50,2015-08-01,north,large
1.9761696746,0.9505603620266074,0.5652512000000001,1.0657804,1.82424,2.9025712,4.225965999999999,51,2016-06-01,north,large
7.006599557,1.7976342219512202,3.90880675,5.2318144,6.86639,8.7862712,10.8532,52,2017-06-01,north,large
82.452807655,6.143826391583856,70.83376,76.32151999999999,82.2957,88.544028,94.9676025,53,2017-08-01,north,large
203.51712455,10.186304932680288,183.70482500000003,193.41756,203.5025,213.508,223.84624999999997,54,2018-06-01,north,large
476.5485021,16.1025629935096,445.515775,460.39,476.3855,492.59463999999997,508.3530499999999,55,2018-08-01,north,large
560.75481795,17.572245741820527,526.64447499999994,543.31504,560.626,578.35432,595.262175,56,2019-06-01,north,large
247.6320987,11.189168875580712,226.238775,236.54272000000003,247.3855,258.72316,270.368175,57,2019-08-01,north,large
452.51436395,15.54364441427019,422.42405,437.09956,452.37850000000003,467.95348,483.51022499999993,58,2020-06-01,north,large
335.1529782,13.193690138384284,309.795775,321.96968000000004,335.071,348.26764,361.29457499999995,59,2020-08-01,north,large
8.136512661,1.4822040150067666,5.50182975,6.6767956,8.0451,9.607592799999999,11.263239999999996,119,1991-06-01,south,large
62.804992825,4.291290037663213,54.60825,58.623884000000004,62.67635,67.023116,71.58356499999998,120,1991-08-01,south,large
135.1767314,6.7453900699006235,122.031975,128.472,135.054,141.87,148.71209999999996,121,1992-06-01,south,large
24.72651962,2.6150574174646533,19.8084025,22.1296,24.6434,27.311148,30.164747499999997,122,1992-09-01,south,large
53.36554589,3.936921963462624,45.865467499999994,49.475652000000004,53.28045,57.273579999999995,61.36144,123,1993-06-01,south,large
8.8603893985,1.5241941568330528,6.1273582499999995,7.33197,8.78489,10.370180000000001,12.065542499999996,124,1993-08-01,south,large
2.0808738251,0.7273128807188314,0.9040108,1.3627124000000002,2.00085,2.7958672,3.712050749999999,125,1994-06-01,south,large
112.99716195,5.776289400960186,102.01989999999999,107.247,112.88,118.76548,124.41644999999995,126,1994-08-01,south,large
59.546698315,4.230654554055968,51.5000875,55.359652,59.4727,63.774448,67.98563,127,1995-06-01,south,large
18.85237438,2.3191328890610032,14.587392500000002,16.536687999999998,18.769150000000003,21.163448,23.657637499999996,128,1995-08-01,south,large
174.59811065,8.543350566753736,158.49892499999999,165.98184,174.4675,183.11115999999998,191.622,129,1996-06-01,south,large
123.59342358,6.143440055403894,111.915925,117.518,123.463,129.705,135.95007499999997,130,1996-08-01,south,large
405.01229775,12.263762083708976,381.24289999999996,392.82684,404.84000000000003,417.21232,429.354425,131,1997-06-01,south,large
464.1075452,13.131861819148106,438.757475,451.0538399999999,463.9825,477.1961600000001,490.01017499999995,132,1997-08-01,south,large
211.07872655,8.397213761333115,194.84795,202.8062,210.995,219.44464,227.82719999999998,133,1998-06-01,south,large
69.84576722,4.652143591650988,60.85787,65.23308399999999,69.79185000000001,74.431764,79.12858249999998,134,1998-08-01,south,large
38.85374707,3.3549411213317653,32.6433075,35.536992,38.748900000000006,42.171292,45.6815125,135,1999-07-01,south,large
8.634284696,1.5737784915552018,5.8190824999999995,7.071350400000001,8.549975,10.188516,12.004257499999996,136,1999-08-01,south,large
2.9656231359,0.9041877309109643,1.4494492499999998,2.0786456,2.8832750000000003,3.8556864,4.9754905,137,2000-06-01,south,large
44.20989187,3.439047855497149,37.72983,40.780292,44.12545,47.6354,51.21901749999999,138,2000-09-01,south,large
3.42080730535,0.9650877209328438,1.7849445000000002,2.4583496,3.345335,4.3745876,5.512801250000001,139,2001-06-01,south,large
46.910109655,3.6400205226069233,40.0934575,43.299884,46.79375,50.507732,54.37742999999998,140,2001-08-01,south,large
39.937899855,3.4322868445364056,33.529447499999996,36.543868,39.845349999999996,43.349132,46.95091999999999,141,2002-06-01,south,large
38.23221584,3.340288778410814,31.930195,34.932587999999996,38.129900000000006,41.549096,45.09176,142,2002-08-01,south,large
622.7261049,15.760344959123136,592.5308249999999,606.90352,622.4970000000001,638.35944,654.1901250000001,143,2003-06-01,south,large
810.10982535,18.5793245878384,774.1217499999999,791.67088,809.9925000000001,828.56276,846.9140249999999,144,2003-08-01,south,large
288.0559756,9.91397689840467,268.707775,278.28468000000004,287.898,297.89132,308.05109999999996,145,2004-07-01,south,large
76.39027557,4.7381727881291615,67.3726025,71.63103600000001,76.3318,81.087576,85.9289,146,2004-08-01,south,large
156.888969,7.188374306718973,142.98785,149.68184,156.76049999999998,164.011,171.25927499999997,147,2005-06-01,south,large
45.332662525,3.621697483532029,38.440917500000005,41.706500000000005,45.26205,48.915896,52.575337499999996,148,2005-08-01,south,large
28.08726798,2.810517883315528,22.8170975,25.288884,27.9985,30.87808,33.822934999999994,149,2006-06-01,south,large
5.5124539015,1.205742258851155,3.41467775,4.3367224,5.416265,6.704670799999999,8.125997499999995,150,2006-09-01,south,large
5.4659768325,1.2359707616801674,3.30754575,4.2440148,5.383615,6.68524,8.12173099999999,151,2007-06-01,south,large
32.828736975,3.0406851855664407,27.116532499999998,29.779367999999998,32.740449999999996,35.8687,39.029415,152,2007-09-01,south,large
26.01985375,2.6065886870609427,21.100765,23.452512,25.9218,28.593016,31.502659999999988,153,2008-06-01,south,large
30.028976465,2.9313880135044994,24.54376,27.111988,29.9445,32.984428,35.98474499999999,154,2008-08-01,south,large
6.944019395,1.3672714896195592,4.500321250000001,5.5866704,6.85806,8.3045492,9.878782249999999,155,2009-06-01,south,large
30.219206315,2.9179817689179877,24.7959925,27.325024,30.124299999999998,33.104712,36.2258,156,2009-08-01,south,large
14.283541937,1.9141938602487363,10.791,12.379468000000001,14.1994,16.16808,18.2847175,157,2010-06-01,south,large
61.47038616,4.169893627708593,53.581285,57.3265,61.3639,65.6076,69.81412749999998,158,2010-08-01,south,large
228.7608788,8.738669597634832,211.80167500000002,220.15684,228.65800000000002,237.505,246.21224999999995,159,2011-06-01,south,large
6.261602094,1.31926225569318,3.93559875,4.950088,6.167915000000001,7.574232,9.076242249999996,160,2011-08-01,south,large
19.87685894,2.3789527844649547,15.4921875,17.482652,19.79805,22.2443,24.718557499999992,161,2012-06-01,south,large
15.2372132855,1.996751037313026,11.5335975,13.2807,15.162,17.187016000000003,19.3844075,162,2012-08-01,south,large
5.524569462,1.2088282106823927,3.4148780000000003,4.33538,5.430104999999999,6.706696,8.1468335,163,2013-06-01,south,large
37.85986026,3.227303152132059,31.743495,34.699852,37.7403,41.073976,44.45186749999997,164,2013-08-01,south,large
0.74143592197,0.4257918699380966,0.15425545000000002,0.34006512,0.659807,1.1465147999999998,1.7854502499999998,165,2014-06-01,south,large
17.40087323,2.1350660941885815,13.453297500000001,15.286284,17.32175,19.525191999999997,21.779749999999996,166,2014-08-01,south,large
16.986234596,2.2644918267375393,12.83564,14.716636,16.903550000000003,19.222212,21.64762249999999,167,2015-06-01,south,large
9.48634305,1.6162296538002168,6.611568500000001,7.905762,9.397269999999999,11.066616,12.909197499999992,168,2015-08-01,south,large
1.2275610419,0.5425727348827295,0.395786675,0.70089552,1.1539199999999998,1.7507616000000001,2.496890249999993,169,2016-06-01,south,large
3.540908648,0.9646692307432629,1.8779145,2.5972488,3.457755,4.4891344,5.665873249999997,170,2017-06-01,south,large
9.927668061,1.6722397950703691,6.916130750000001,8.2637732,9.85247,11.573431999999999,13.453222499999997,171,2017-08-01,south,large
8.1815598365,1.5297092308717297,5.446566249999999,6.6731736,8.08065,9.689061599999999,11.419132499999996,172,2018-06-01,south,large
83.31017549,4.846698217639809,74.2658375,78.447968,83.237,88.131748,93.05596,173,2018-08-01,south,large
81.24818294,4.883088939090432,71.93587000000001,76.377784,81.1543,86.100248,90.99149499999997,174,2019-06-01,south,large
267.5781965,9.284023961189103,249.88395,258.28152,267.414,276.81548,286.13314999999994,175,2019-08-01,south,large
131.03276665,6.335865063509732,118.88395,124.79868000000002,130.951,137.372,143.572175,176,2020-06-01,south,large
47.17148411,3.718271660372139,40.178455,43.448296,47.09495,50.836656,54.803394999999995,177,2020-08-01,south,large
