year,stage,area,count
2014,second,7,0
2014,second,9,0
2014,second,10,0
2015,second,7,0
2016,second,0,0
2016,second,5,0
2016,second,6,0
2016,second,7,0
2017,second,0,0
2017,second,1,0
2017,second,5,0
2017,second,6,0
2018,second,0,0
2018,second,6,0
2019,second,1,0
2019,second,5,0
2019,second,6,0
2019,second,9,0
2020,second,0,0
1986,third,0,0
1986,third,4,0
1986,third,6,0
1986,third,7,0
1986,third,9,0
1986,third,10,0
1987,third,0,0
1987,third,5,0
1987,third,7,0
1987,third,9,0
1987,third,10,0
1988,third,0,0
1988,third,9,0
1989,third,0,0
1989,third,1,0
1989,third,9,0
1990,third,0,0
1990,third,3,0
1990,third,4,0
1990,third,6,0
1990,third,9,0
1990,third,10,0
1991,third,0,0
1991,third,3,0
1991,third,5,0
1991,third,6,0
1991,third,9,0
1991,third,10,0
1992,third,9,0
1992,third,10,0
1993,third,0,0
1993,third,5,0
1993,third,6,0
1993,third,9,0
1993,third,10,0
1994,third,9,0
1994,third,10,0
1995,third,9,0
1995,third,10,0
1996,third,9,0
1996,third,10,0
1997,third,9,0
1997,third,10,0
1998,third,9,0
1998,third,10,0
1999,third,2,0
1999,third,5,0
1999,third,9,0
1999,third,10,0
2000,third,1,0
2000,third,3,0
2000,third,5,0
2000,third,6,0
2000,third,9,0
2000,third,10,0
2001,third,0,0
2001,third,5,0
2001,third,6,0
2001,third,10,0
2002,third,0,0
2002,third,9,0
2002,third,10,0
2003,third,10,0
2004,third,1,0
2004,third,3,0
2004,third,6,0
2004,third,7,0
2004,third,9,0
2004,third,10,0
2005,third,0,0
2005,third,3,0
2005,third,6,0
2005,third,10,0
2006,third,0,0
2006,third,6,0
2006,third,7,0
2006,third,10,0
2007,third,1,0
2007,third,2,0
2007,third,3,0
2007,third,5,0
2007,third,6,0
2007,third,10,0
2008,third,0,0
2008,third,5,0
2008,third,6,0
2009,third,0,0
2009,third,2,0
2009,third,5,0
2009,third,6,0
2009,third,10,0
2010,third,0,0
2010,third,5,0
2010,third,7,0
2010,third,10,0
2011,third,0,0
2011,third,1,0
2011,third,5,0
2011,third,6,0
2011,third,9,0
2012,third,1,0
2012,third,5,0
2012,third,6,0
2012,third,8,0
2012,third,10,0
2013,third,0,0
2013,third,1,0
2013,third,5,0
2013,third,10,0
2014,third,1,0
2014,third,2,0
2014,third,3,0
2014,third,5,0
2014,third,6,0
2014,third,9,0
2014,third,10,0
2015,third,0,0
2016,third,5,0
2016,third,7,0
2017,third,0,0
2017,third,1,0
2017,third,2,0
2017,third,5,0
2017,third,6,0
2017,third,9,0
2018,third,0,0
2018,third,1,0
2018,third,6,0
2019,third,1,0
2019,third,6,0
2020,third,0,0
1986,adult,0,0
1986,adult,4,0
1986,adult,5,0
1986,adult,9,0
1986,adult,10,0
1987,adult,0,0
1987,adult,2,0
1987,adult,3,0
1987,adult,5,0
1987,adult,7,0
1987,adult,9,0
1987,adult,10,0
1988,adult,0,0
1988,adult,9,0
1989,adult,0,0
1989,adult,1,0
1989,adult,5,0
1989,adult,9,0
1990,adult,0,0
1990,adult,1,0
1990,adult,6,0
1990,adult,7,0
1990,adult,9,0
1991,adult,0,0
1991,adult,1,0
1991,adult,3,0
1991,adult,4,0
1991,adult,5,0
1991,adult,7,0
1991,adult,9,0
1991,adult,10,0
1992,adult,1,0
1992,adult,3,0
1992,adult,4,0
1992,adult,5,0
1992,adult,6,0
1992,adult,7,0
1992,adult,9,0
1992,adult,10,0
1993,adult,0,0
1993,adult,5,0
1993,adult,6,0
1993,adult,9,0
1993,adult,10,0
1994,adult,5,0
1994,adult,7,0
1994,adult,9,0
1994,adult,10,0
1995,adult,5,0
1995,adult,7,0
1995,adult,9,0
1995,adult,10,0
1996,adult,1,0
1996,adult,4,0
1996,adult,5,0
1996,adult,7,0
1996,adult,8,0
1996,adult,9,0
1996,adult,10,0
1997,adult,9,0
1997,adult,10,0
1998,adult,9,0
1998,adult,10,0
1999,adult,9,0
1999,adult,10,0
2000,adult,2,0
2000,adult,3,0
2000,adult,5,0
2000,adult,9,0
2000,adult,10,0
2001,adult,1,0
2001,adult,7,0
2001,adult,10,0
2002,adult,0,0
2002,adult,1,0
2002,adult,4,0
2002,adult,6,0
2002,adult,7,0
2002,adult,8,0
2002,adult,10,0
2003,adult,1,0
2003,adult,2,0
2003,adult,3,0
2003,adult,4,0
2003,adult,7,0
2003,adult,9,0
2003,adult,10,0
2004,adult,1,0
2004,adult,3,0
2004,adult,4,0
2004,adult,7,0
2004,adult,8,0
2004,adult,9,0
2004,adult,10,0
2005,adult,0,0
2005,adult,1,0
2005,adult,2,0
2005,adult,5,0
2005,adult,6,0
2005,adult,7,0
2005,adult,8,0
2005,adult,9,0
2005,adult,10,0
2006,adult,2,0
2006,adult,4,0
2006,adult,5,0
2006,adult,7,0
2006,adult,8,0
2006,adult,9,0
2006,adult,10,0
2007,adult,0,0
2007,adult,1,0
2007,adult,3,0
2007,adult,4,0
2007,adult,5,0
2007,adult,6,0
2007,adult,7,0
2007,adult,10,0
2008,adult,0,0
2008,adult,1,0
2008,adult,2,0
2008,adult,3,0
2008,adult,6,0
2009,adult,0,0
2009,adult,1,0
2009,adult,2,0
2009,adult,6,0
2009,adult,10,0
2010,adult,0,0
2010,adult,1,0
